scope,category,item,amount,cadence,monthly_equivalent,essential,notes
personal,housing,Rent or mortgage,1800.00,monthly,1800.00,yes,Largest single line for most people
personal,housing,Renters or home insurance,22.00,monthly,22.00,yes,
personal,housing,Property tax escrow,0.00,monthly,0.00,yes,Zero if renting
personal,utilities,Electric,165.00,monthly,165.00,yes,Average the last 12 months
personal,utilities,Water and sewer,68.00,monthly,68.00,yes,
personal,utilities,Gas,45.00,monthly,45.00,yes,
personal,utilities,Internet,80.00,monthly,80.00,yes,Shared with business - see allocation note
personal,phone,Cell plan,95.00,monthly,95.00,yes,
personal,food,Groceries,550.00,monthly,550.00,yes,Essential food only - dining out is separate
personal,transport,Car payment,420.00,monthly,420.00,yes,
personal,transport,Auto insurance,145.00,monthly,145.00,yes,
personal,transport,Fuel,180.00,monthly,180.00,yes,
personal,transport,Maintenance reserve,75.00,monthly,75.00,yes,Set aside monthly so repairs are not a crisis
personal,health,Insurance premium,310.00,monthly,310.00,yes,
personal,health,Prescriptions,60.00,monthly,60.00,yes,
personal,health,Copay and deductible reserve,50.00,monthly,50.00,yes,
personal,debt,Credit card minimums,210.00,monthly,210.00,yes,Minimums only - payoff is a goal not a baseline
personal,debt,Student loan,0.00,monthly,0.00,yes,
personal,personal-care,Essentials,60.00,monthly,60.00,yes,Hygiene haircuts basics
personal,dining,Eating out,260.00,monthly,260.00,no,
personal,entertainment,Streaming and subscriptions,48.00,monthly,48.00,no,
personal,shopping,Clothing,90.00,monthly,90.00,no,
personal,travel,Travel reserve,150.00,monthly,150.00,no,
personal,gifts,Gifts and giving,60.00,monthly,60.00,no,
personal,hobbies,Hobbies,100.00,monthly,100.00,no,
business,software,Design suite,60.00,monthly,60.00,yes,
business,software,Hosting and domains,25.00,monthly,25.00,yes,
business,software,AI and API spend,40.00,monthly,40.00,yes,
business,phone,Business line,30.00,monthly,30.00,yes,
business,insurance,General liability,45.00,monthly,45.00,yes,
business,licenses,Business registration,175.00,annual,14.58,yes,Annual divided by 12
business,accounting,Bookkeeping software,30.00,monthly,30.00,yes,
business,equipment,Equipment replacement reserve,100.00,monthly,100.00,yes,Laptop and gear amortized not expensed at once
business,marketing,Ads and promotion,200.00,monthly,200.00,yes,Treat as essential once it is producing leads
business,banking,Bank and card fees,15.00,monthly,15.00,yes,
business,education,Training and courses,30.00,monthly,30.00,yes,
business,contractors,Subcontract labor,0.00,monthly,0.00,yes,Variable - scale with revenue
business,fees,Payment processing,0.00,variable,0.00,yes,Roughly 2.9 percent plus 30 cents per charge - model in pricing not here
business,conferences,Conferences and travel,100.00,monthly,100.00,no,
business,software,Nice-to-have tools,50.00,monthly,50.00,no,
